ID,Country,Total Case,New Case,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Case,Serious,Tot Case,Deaths 1M,Totals Tests,Tests 1M,Population
100,Zambia,"343,135",,"4,057",,"338,854",,,,"17,624",208,"3,943,335","202,531","19,470,234"
101,Kenya,"342,932",,"5,688",,"337,220",,,1,"6,100",101,"3,967,062","70,569","56,215,221"
102,Albania,"334,427",,"3,597",,"329,169",,,,"116,672","1,255","1,941,032","677,173","2,866,374"
103,Botswana,"329,758",,"2,801",,"326,916",,,1,"135,082","1,147","2,026,898","830,300","2,441,162"
104,Luxembourg,"297,757",,"1,133",,"288,991",,,,"463,528","1,764","4,412,567","6,869,188","642,371"
105,Montenegro,"288,682",,"2,808",,"285,214",,,6,"459,721","4,472","2,721,739","4,334,324","627,950"
106,Brunei,"278,698",,225,,"243,601",,,3,"625,682",505,"717,784","1,611,437","445,431"
107,Algeria,"271,490",,"6,881",,"182,808",,,,"5,987",152,"230,861","5,091","45,350,148"
108,Nigeria,"266,598",,"3,155",,"259,917",,,11,"1,230",15,"5,708,974","26,339","216,746,934"
109,Zimbabwe,"264,127",,"5,668",,"257,839",,,12,"17,228",370,"2,525,756","164,744","15,331,428"
110,Uzbekistan,"251,071",,"1,637",,"241,486",,,23,"7,302",48,"1,377,915","40,077","34,382,084"
111,Mozambique,"233,214",,"2,242",,"228,805",,,11,"7,048",68,"1,371,127","41,437","33,089,461"
112,Martinique,"229,807",,"1,098",,N/A,N/A,N/A,12,"614,314","2,935","828,928","2,215,870","374,087"
113,Laos,"218,023",+3,758,,N/A,N/A,N/A,,"29,143",101,"1,233,207","164,845","7,481,023"
114,Afghanistan,"209,451",+10,"7,896",,"191,272",+10,+10,45,"5,139",194,"1,203,807","29,538","40,754,388"
115,Iceland,"209,137",,229,,N/A,N/A,N/A,2,"605,504",663,"1,996,384","5,780,036","345,393"
116,Kyrgyzstan,"206,673",,"2,991",,"196,406",,,131,"30,717",445,"1,907,195","283,460","6,728,271"
117,Guadeloupe,"201,852",,"1,010",,N/A,N/A,N/A,19,"504,890","2,526","938,039","2,346,306","399,794"
118,El Salvador,"201,785",,"4,230",,"179,410",,,8,"30,805",646,"2,610,114","398,467","6,550,389"
119,Trinidad and Tobago,"189,918",,"4,355",,"185,101",,,8,"135,021","3,096","900,861","640,460","1,406,585"
120,Maldives,"185,738",,311,,"163,687",,,25,"343,333",575,"2,213,831","4,092,223","540,985"
121,Ghana,"171,229",,"1,462",,"169,726",,,2,"5,286",45,"2,531,089","78,131","32,395,450"
122,Namibia,"171,156",,"4,090",,"166,776",,,,"64,983","1,553","1,062,663","403,460","2,633,874"
123,Uganda,"170,504",,"3,630",,"100,431",,,3,"3,520",75,"3,012,408","62,198","48,432,863"
124,Jamaica,"154,196",,"3,502",,"102,393",,,,"51,655","1,173","1,183,986","396,633","2,985,094"
125,Cambodia,"138,719",,"3,056",,"135,660",,,,"8,080",178,"3,091,420","180,062","17,168,639"
126,Rwanda,"133,180",,"1,468",,"131,634",,,,"9,792",108,"6,021,981","442,778","13,600,464"
127,Cameroon,"124,392",,"1,965",,"122,344",,,13,"4,457",70,"1,751,774","62,762","27,911,548"
128,Malta,"117,610",,828,,"116,117",,,4,"264,868","1,865","2,119,315","4,772,877","444,033"
129,Barbados,"106,645",,575,,"106,057",,,,"370,266","1,996","794,426","2,758,203","288,023"
130,Angola,"105,277",,"1,933",,"103,317",,,,"3,006",55,"1,499,795","42,818","35,027,343"
131,Channel Islands,"101,449",,227,,"101,091",,,,"574,902","1,286","1,252,808","7,099,551","176,463"
132,French Guiana,"98,041",,420,,"11,254",,,6,"312,065","1,337","651,257","2,072,951","314,169"
133,DRC,"95,749",,"1,464",,"84,321",,,,"1,005",15,"846,704","8,890","95,240,792"
134,Senegal,"88,921",,"1,971",,"86,947",,,,"5,037",112,"1,146,543","64,946","17,653,671"
135,Malawi,"88,702",,"2,686",,"85,580",,,67,"4,395",133,"624,784","30,959","20,180,839"
136,Ivory Coast,"88,255",,834,,"87,397",,,,"3,181",30,"1,680,848","60,588","27,742,298"
137,Suriname,"82,467",,"1,404",,N/A,N/A,N/A,,"138,175","2,352","241,357","404,398","596,831"
